rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,-1
rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,-1
rnbqkbnr/pp1ppppp/8/2P5/8/8/PPP1PPPP/RNBQKBNR b KQkq - 0 2,-1
rnb1kbnr/pp1ppppp/8/q1P5/8/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3,-1
rnb1kbnr/pp1ppppp/8/q1P5/8/8/PPPNPPPP/R1BQKBNR b KQkq - 2 3,-1
rnb1kbnr/pp1ppppp/8/2q5/8/8/PPPNPPPP/R1BQKBNR w KQkq - 0 4,-1
rnb1kbnr/pp1ppppp/8/2q5/8/1N6/PPP1PPPP/R1BQKBNR b KQkq - 1 4,-1
rnb1kbnr/ppqppppp/8/8/8/1N6/PPP1PPPP/R1BQKBNR w KQkq - 2 5,-1
rnb1kbnr/ppqppppp/8/8/8/1N3N2/PPP1PPPP/R1BQKB1R b KQkq - 3 5,-1
rnb1kbnr/ppq1pppp/3p4/8/8/1N3N2/PPP1PPPP/R1BQKB1R w KQkq - 0 6,-1
rnb1kbnr/ppq1pppp/3p4/8/4P3/1N3N2/PPP2PPP/R1BQKB1R b KQkq - 0 6,-1
rnb1kbnr/ppq2ppp/3p4/4p3/4P3/1N3N2/PPP2PPP/R1BQKB1R w KQkq - 0 7,-1
rnb1kbnr/ppq2ppp/3p4/4p3/4P3/1N1B1N2/PPP2PPP/R1BQK2R b KQkq - 1 7,-1
rn2kbnr/ppq2ppp/3p4/4p3/4P1b1/1N1B1N2/PPP2PPP/R1BQK2R w KQkq - 2 8,-1
rn2kbnr/ppq2ppp/3p4/4p3/4P1b1/1N1B1N1P/PPP2PP1/R1BQK2R b KQkq - 0 8,-1
rn2kbnr/ppq2ppp/3p4/4p3/4P3/1N1B1b1P/PPP2PP1/R1BQK2R w KQkq - 0 9,-1
rn2kbnr/ppq2ppp/3p4/4p3/4P3/1N1B1Q1P/PPP2PP1/R1B1K2R b KQkq - 0 9,-1
rn2kb1r/ppq2ppp/3p1n2/4p3/4P3/1N1B1Q1P/PPP2PP1/R1B1K2R w KQkq - 1 10,-1
rn2kb1r/ppq2ppp/3p1n2/4p1B1/4P3/1N1B1Q1P/PPP2PP1/R3K2R b KQkq - 2 10,-1
rn2k2r/ppq1bppp/3p1n2/4p1B1/4P3/1N1B1Q1P/PPP2PP1/R3K2R w KQkq - 3 11,-1
rn2k2r/ppq1bppp/3p1n2/4p1B1/4P3/1N1B1Q1P/PPP2PP1/R4RK1 b kq - 4 11,-1
rn2k2r/1pq1bppp/3p1n2/p3p1B1/4P3/1N1B1Q1P/PPP2PP1/R4RK1 w kq - 0 12,-1
rn2k2r/1pq1bppp/3p1n2/p3p1B1/4P3/1NPB1Q1P/PP3PP1/R4RK1 b kq - 0 12,-1
rn2k2r/1pq1bppp/3p1n2/4p1B1/p3P3/1NPB1Q1P/PP3PP1/R4RK1 w kq - 0 13,-1
rn2k2r/1pq1bppp/3p1n2/4p1B1/p3P3/2PB1Q1P/PP1N1PP1/R4RK1 b kq - 1 13,-1
rn2k2r/1pq1bpp1/3p1n1p/4p1B1/p3P3/2PB1Q1P/PP1N1PP1/R4RK1 w kq - 0 14,-1
